Year,District Code,District Name,NSPF School Code,School Name,School Type,Total Index Score,Star Rating,Title I Status,% Proficient ELA,% Proficient Math,% Proficient Science,95% Participation Met Mathematics,95% Participation Met ELA,% Meeting AGP ELA,% Meeting AGP Math,% Meeting AGP EL,NAC 389.445 Credit Requirements (8th Grade),9th Grade Credit Sufficiency,CCR Participation,CCR Completion,Advanced Diploma,4-Year Graduation Rate,5-Year Graduation Rate,Chronic Absenteeism,CSI,Yrs In Designation As CSI,TSI,ATSI,Yrs In Designation As ATSI,CSI-MRI,Yrs In Designation As CSI-MRI
2026,18,"State Public Charter School Authority ",54428.2,Learning Bridge MS,Regular,70,4,NO,44.8,34.6,16.6,YES,YES,43.7,41.6,N/A,>95,N/A,N/A,N/A,N/A,N/A,N/A,7.6,NO,N/A,NO,NO,N/A,NO,N/A
2026,18,"State Public Charter School Authority ",55200.1,Doral Cactus ES,Regular,77.5,4,NO,70.6,69.4,26.1,YES,YES,62.8,45.7,46.1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5.5,NO,N/A,NO,NO,N/A,NO,N/A
2026,18,"State Public Charter School Authority ",55200.2,Doral Cactus MS,Regular,98.8,5,NO,76.5,65.4,63.3,YES,YES,73.9,64.1,-,>95,N/A,N/A,N/A,N/A,N/A,N/A,6.4,NO,N/A,NO,NO,N/A,NO,N/A
2026,18,"State Public Charter School Authority ",55201.1,Doral Fire Mesa ES,Regular,67.5,4,YES,62.8,50.9,17.8,YES,YES,54.1,44.3,72.9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7.4,NO,N/A,NO,NO,N/A,NO,N/A
2026,18,"State Public Charter School Authority ",55201.2,Doral Fire Mesa MS,Regular,93.5,5,YES,66.9,60.7,60.8,YES,YES,66.6,63.4,72.7,>95,N/A,N/A,N/A,N/A,N/A,N/A,9.1,NO,N/A,NO,NO,N/A,NO,N/A
2026,18,"State Public Charter School Authority ",55202.1,Doral Red Rock ES,Regular,90,5,NO,75.3,75.5,55.7,YES,YES,68.7,65.7,66.6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8.3,NO,N/A,NO,NO,N/A,NO,N/A
2026,18,"State Public Charter School Authority ",55202.2,Doral Red Rock MS,Regular,88.3,5,NO,71.2,65.5,57.6,YES,YES,67.5,64.7,-,92.4,N/A,N/A,N/A,N/A,N/A,N/A,7.1,NO,N/A,NO,NO,N/A,NO,N/A
2026,18,"State Public Charter School Authority ",55202.3,Doral Red Rock HS,Regular,89.5,5,NO,74.8,33.3,32.2,YES,YES,N/A,N/A,18.1,N/A,100,84,72.8,75.3,>95,>95,17.2,NO,N/A,NO,NO,N/A,NO,N/A
2026,18,"State Public Charter School Authority ",55203.1,Doral Saddle ES,Regular,79,4,NO,72.2,69.3,26.7,YES,YES,64.9,47.6,76.9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6.2,NO,N/A,NO,NO,N/A,NO,N/A
2026,18,"State Public Charter School Authority ",55203.2,Doral Saddle MS,Regular,89.5,5,NO,69.3,56.7,61.8,YES,YES,69.5,56.7,25,>95,N/A,N/A,N/A,N/A,N/A,N/A,5.1,NO,N/A,NO,NO,N/A,NO,N/A
