Year,District Code,District Name,NSPF School Code,School Name,School Type,Total Index Score,Star Rating,Title I Status,% Proficient ELA,% Proficient Math,% Proficient Science,95% Participation Met Mathematics,95% Participation Met ELA,% Meeting AGP ELA,% Meeting AGP Math,% Meeting AGP EL,NAC 389.445 Credit Requirements (8th Grade),9th Grade Credit Sufficiency,CCR Participation,CCR Completion,Advanced Diploma,4-Year Graduation Rate,5-Year Graduation Rate,Chronic Absenteeism,CSI,Yrs In Designation As CSI,TSI,ATSI,Yrs In Designation As ATSI,CSI-MRI,Yrs In Designation As CSI-MRI
2026,16,Washoe,16318.1,Coral Acad ES,Regular,82,4,NO,57.3,62,48.1,YES,YES,53.8,51.9,54,N/A,N/A,N/A,N/A,N/A,N/A,N/A,<5,NO,N/A,NO,NO,N/A,NO,N/A
2026,16,Washoe,16319.2,Sky Ranch MS,Regular,72.5,4,NO,57.5,41.9,46.2,YES,YES,54.7,41.2,36.5,>95,N/A,N/A,N/A,N/A,N/A,N/A,11,NO,N/A,NO,NO,N/A,NO,N/A
2026,16,Washoe,16320.2,Coral Academy MS,Regular,80.5,5,NO,62.4,39.5,55.4,YES,YES,58.4,36.4,39.2,>95,N/A,N/A,N/A,N/A,N/A,N/A,<5,NO,N/A,NO,NO,N/A,NO,N/A
2026,16,Washoe,16321.2,Desert Skies MS,Regular,26,1,YES,21.9,14.9,20.5,YES,YES,24.2,13.8,21.5,84.6,N/A,N/A,N/A,N/A,N/A,N/A,20.1,NO,N/A,YES,NO,N/A,NO,N/A
2026,16,Washoe,16322.2,Herz MS,Regular,79,4,NO,66.8,58.3,55.8,NO,NO,64.1,56.5,23,93.3,N/A,N/A,N/A,N/A,N/A,N/A,12.1,NO,N/A,NO,NO,N/A,NO,N/A
2026,16,Washoe,16501.3,Wooster HS,Regular,41,2,YES,29,12.8,10.7,NO,NO,N/A,N/A,<5,N/A,77.2,65.5,44.7,38,80.9,81.8,53.3,NO,N/A,NO,NO,N/A,NO,N/A
2026,16,Washoe,16502.3,Reno HS,Regular,78,4,NO,70,46.3,34.6,YES,YES,N/A,N/A,7.8,N/A,88.3,75.5,61.5,60.5,85.2,85,23.7,NO,N/A,NO,NO,N/A,NO,N/A
2026,16,Washoe,16503.3,Sparks HS,Regular,27.5,2,YES,24.6,5.9,9.7,NO,NO,N/A,N/A,6.1,N/A,73.6,52,32.8,32.1,72.8,82.5,48.4,NO,N/A,YES,NO,N/A,NO,N/A
2026,16,Washoe,16504.3,Hug HS,Regular,33,2,YES,19.9,8.2,16.3,NO,NO,N/A,N/A,<5,N/A,67.8,60.1,41.7,27.3,77.5,77.4,61.5,NO,N/A,YES,NO,N/A,NO,N/A
2026,16,Washoe,16505.3,Reed HS,Regular,56,3,NO,47,24.4,14.8,NO,NO,N/A,N/A,9.5,N/A,81.2,57.8,42.3,46.2,85.4,86.6,31.6,NO,N/A,NO,NO,N/A,NO,N/A
2026,16,Washoe,16507.2,Inspire Academy MS,Alternative,0,Not Rated,YES,-,-,N/A,NO,NO,-,-,N/A,30.7,N/A,N/A,N/A,N/A,N/A,N/A,-,NO,N/A,NO,NO,N/A,NO,N/A
2026,16,Washoe,16507.3,Inspire Academy HS,Alternative,7.3,1,YES,7,7,-,NO,NO,N/A,N/A,-,N/A,-,7.1,7.1,-,8.1,10.1,53.5,NO,N/A,NO,NO,N/A,YES,8
2026,16,Washoe,16508.3,McQueen HS,Regular,80,4,NO,60.2,34,33.9,NO,NO,N/A,N/A,14.5,N/A,86.7,76.9,70.4,60.6,87.1,89.7,33.6,NO,N/A,NO,NO,N/A,NO,N/A
2026,16,Washoe,16509.3,Galena HS,Regular,82,5,NO,74.1,42,41.6,YES,YES,N/A,N/A,<5,N/A,94.7,89,77.4,74.2,93.5,89,29.7,NO,N/A,NO,NO,N/A,NO,N/A
2026,16,Washoe,16510.3,Innovations HS,Alternative,16.5,1,YES,22.7,6.3,17.6,YES,YES,N/A,N/A,16.6,N/A,73.3,17.6,<4.5,17.3,45,68,78.9,YES,3,NO,NO,N/A,NO,N/A
2026,16,Washoe,16511.3,Debbie Smith CTE HS,Regular,86.9,Not Rated,NO,66.3,42.2,27.2,YES,YES,N/A,N/A,16.6,N/A,98.3,>95,91.4,N/A,N/A,N/A,12.9,NO,N/A,NO,NO,N/A,NO,N/A
2026,16,Washoe,16601.1,Gerlach K 12 ES,Regular,23.3,Not Rated,NO,-,-,-,YES,YES,-,-,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,23,NO,N/A,NO,NO,N/A,NO,N/A
