school_name,school_code,authorizer,model_type,operating_school_year,accountability_reporting_year,legal_charter,grade_9_count,grade_10_count,grade_11_count,grade_12_count,has_grade_12,acgr_row_exists,include_in_charter_grad_universe,exclusion_reason,confidence,source_file,source_url,date_accessed
NSHS North Las Vegas,,State Public Charter School Authority,brick_and_mortar,2018-19,2019-20,yes,,,,,no,no,no,no_grade_12_or_no_acgr,moderate,MoreDownload?filename=4+Year+Graduation+Rates+for+the+Class+of+2018-2019.pdf,https://nevadareportcard.nv.gov/DI/MoreDownload?filename=4+Year+Graduation+Rates+for+the+Class+of+2018-2019.pdf,2026-06-06
NSHS Northwest,,State Public Charter School Authority,brick_and_mortar,2018-19,2019-20,yes,,,,,no,no,no,no_grade_12_or_no_acgr,moderate,MoreDownload?filename=4+Year+Graduation+Rates+for+the+Class+of+2018-2019.pdf,https://nevadareportcard.nv.gov/DI/MoreDownload?filename=4+Year+Graduation+Rates+for+the+Class+of+2018-2019.pdf,2026-06-06
NSHS Southwest,,State Public Charter School Authority,brick_and_mortar,2018-19,2019-20,yes,,,,,no,no,no,no_grade_12_or_no_acgr,moderate,MoreDownload?filename=4+Year+Graduation+Rates+for+the+Class+of+2018-2019.pdf,https://nevadareportcard.nv.gov/DI/MoreDownload?filename=4+Year+Graduation+Rates+for+the+Class+of+2018-2019.pdf,2026-06-06
NSHS Summerlin,,State Public Charter School Authority,brick_and_mortar,2018-19,2019-20,yes,,,,,yes,yes,yes,,moderate,MoreDownload?filename=4+Year+Graduation+Rates+for+the+Class+of+2018-2019.pdf,https://nevadareportcard.nv.gov/DI/MoreDownload?filename=4+Year+Graduation+Rates+for+the+Class+of+2018-2019.pdf,2026-06-06
NSHS Sunrise,,State Public Charter School Authority,brick_and_mortar,2018-19,2019-20,yes,,,,,yes,yes,yes,,moderate,MoreDownload?filename=4+Year+Graduation+Rates+for+the+Class+of+2018-2019.pdf,https://nevadareportcard.nv.gov/DI/MoreDownload?filename=4+Year+Graduation+Rates+for+the+Class+of+2018-2019.pdf,2026-06-06
Nevada Connections Acad,,State Public Charter School Authority,statewide_online,2018-19,2019-20,yes,,,,,yes,yes,yes,,moderate,MoreDownload?filename=4+Year+Graduation+Rates+for+the+Class+of+2018-2019.pdf,https://nevadareportcard.nv.gov/DI/MoreDownload?filename=4+Year+Graduation+Rates+for+the+Class+of+2018-2019.pdf,2026-06-06
Nevada Virtual Charter,,State Public Charter School Authority,statewide_online,2018-19,2019-20,yes,,,,,yes,yes,yes,,moderate,MoreDownload?filename=4+Year+Graduation+Rates+for+the+Class+of+2018-2019.pdf,https://nevadareportcard.nv.gov/DI/MoreDownload?filename=4+Year+Graduation+Rates+for+the+Class+of+2018-2019.pdf,2026-06-06
Oasis Acad,,State Public Charter School Authority,brick_and_mortar,2018-19,2019-20,yes,,,,,yes,yes,yes,,moderate,MoreDownload?filename=4+Year+Graduation+Rates+for+the+Class+of+2018-2019.pdf,https://nevadareportcard.nv.gov/DI/MoreDownload?filename=4+Year+Graduation+Rates+for+the+Class+of+2018-2019.pdf,2026-06-06
Pinecrest Cadence,,State Public Charter School Authority,brick_and_mortar,2018-19,2019-20,yes,,,,,no,no,no,no_grade_12_or_no_acgr,moderate,MoreDownload?filename=4+Year+Graduation+Rates+for+the+Class+of+2018-2019.pdf,https://nevadareportcard.nv.gov/DI/MoreDownload?filename=4+Year+Graduation+Rates+for+the+Class+of+2018-2019.pdf,2026-06-06
Pinecrest Sloan Canyon,,State Public Charter School Authority,brick_and_mortar,2018-19,2019-20,yes,,,,,no,no,no,no_grade_12_or_no_acgr,moderate,MoreDownload?filename=4+Year+Graduation+Rates+for+the+Class+of+2018-2019.pdf,https://nevadareportcard.nv.gov/DI/MoreDownload?filename=4+Year+Graduation+Rates+for+the+Class+of+2018-2019.pdf,2026-06-06
