school_year,level_band,rating_bucket_5level,rating_bucket_3level,enrollment,enrollment_share,school_count,data_status
2018-19,MS,Collapsed,3,2396.0,0.16656239137990964,9,standard_reporting
2018-19,MS,Collapsed,4-5,9869.0,0.6860618700034758,37,standard_reporting
2018-19,MS,Collapsed,Not Rated,0.0,0.0,0,standard_reporting
2019-20,ES,1,1-2,1285.0,0.04469409759660534,2,pandemic_disruption
2019-20,ES,2,1-2,8189.0,0.2848248756564989,16,pandemic_disruption
2019-20,ES,3,3,3201.0,0.1113352579040729,8,pandemic_disruption
2019-20,ES,4,4-5,6269.0,0.21804458975339988,13,pandemic_disruption
2019-20,ES,5,4-5,7039.0,0.2448262669124552,11,pandemic_disruption
2019-20,ES,Not Rated,Not Rated,2768.0,0.09627491217696776,4,pandemic_disruption
2019-20,ES,Collapsed,1-2,9474.0,0.32951897325310425,18,pandemic_disruption
2019-20,ES,Collapsed,3,3201.0,0.1113352579040729,8,pandemic_disruption
2019-20,ES,Collapsed,4-5,13308.0,0.4628708566658551,24,pandemic_disruption
2019-20,ES,Collapsed,Not Rated,2768.0,0.09627491217696776,4,pandemic_disruption
2019-20,HS,1,1-2,2248.0,0.2088248954946586,4,pandemic_disruption
2019-20,HS,2,1-2,1763.0,0.16377148165350675,3,pandemic_disruption
2019-20,HS,3,3,2759.0,0.2562935438922434,6,pandemic_disruption
2019-20,HS,4,4-5,547.0,0.05081281932187645,2,pandemic_disruption
2019-20,HS,5,4-5,1798.0,0.16702275894101254,7,pandemic_disruption
2019-20,HS,Not Rated,Not Rated,1650.0,0.1532745006967023,7,pandemic_disruption
2019-20,HS,Collapsed,1-2,4011.0,0.37259637714816535,7,pandemic_disruption
2019-20,HS,Collapsed,3,2759.0,0.2562935438922434,6,pandemic_disruption
2019-20,HS,Collapsed,4-5,2345.0,0.217835578262889,9,pandemic_disruption
2019-20,HS,Collapsed,Not Rated,1650.0,0.1532745006967023,7,pandemic_disruption
2019-20,MS,1,1-2,99.0,0.006151360755561079,1,pandemic_disruption
2019-20,MS,2,1-2,1921.0,0.11936125264073567,5,pandemic_disruption
2019-20,MS,3,3,2446.0,0.15198210513234747,9,pandemic_disruption
2019-20,MS,4,4-5,2857.0,0.17751957251149497,8,pandemic_disruption
2019-20,MS,5,4-5,7986.0,0.49620976761526037,29,pandemic_disruption
2019-20,MS,Not Rated,Not Rated,785.0,0.04877594134460047,3,pandemic_disruption
2019-20,MS,Collapsed,1-2,2020.0,0.12551261339629677,6,pandemic_disruption
2019-20,MS,Collapsed,3,2446.0,0.15198210513234747,9,pandemic_disruption
2019-20,MS,Collapsed,4-5,10843.0,0.6737293401267553,37,pandemic_disruption
2019-20,MS,Collapsed,Not Rated,785.0,0.04877594134460047,3,pandemic_disruption
2020-21,ES,1,1-2,34.0,0.0011005016993040945,1,pandemic_irregular
2020-21,ES,2,1-2,8496.0,0.2749959540378702,18,pandemic_irregular
2020-21,ES,3,3,2979.0,0.0964233694772617,8,pandemic_irregular
2020-21,ES,4,4-5,6432.0,0.208189027350704,13,pandemic_irregular
2020-21,ES,5,4-5,7162.0,0.23181744618870367,11,pandemic_irregular
2020-21,ES,Not Rated,Not Rated,5792.0,0.18747370124615634,9,pandemic_irregular
2020-21,ES,Collapsed,1-2,8530.0,0.2760964557371743,19,pandemic_irregular
2020-21,ES,Collapsed,3,2979.0,0.0964233694772617,8,pandemic_irregular
2020-21,ES,Collapsed,4-5,13594.0,0.4400064735394077,24,pandemic_irregular
2020-21,ES,Collapsed,Not Rated,5792.0,0.18747370124615634,9,pandemic_irregular
2020-21,HS,1,1-2,2289.0,0.18074857864813645,4,pandemic_irregular
2020-21,HS,2,1-2,1985.0,0.15674352495262162,3,pandemic_irregular
2020-21,HS,3,3,3076.0,0.2428932406822489,6,pandemic_irregular
2020-21,HS,4,4-5,587.0,0.0463518635502211,2,pandemic_irregular
2020-21,HS,5,4-5,1838.0,0.14513581806696146,7,pandemic_irregular
2020-21,HS,Not Rated,Not Rated,2889.0,0.22812697409981048,13,pandemic_irregular
2020-21,HS,Collapsed,1-2,4274.0,0.33749210360075804,7,pandemic_irregular
2020-21,HS,Collapsed,3,3076.0,0.2428932406822489,6,pandemic_irregular
2020-21,HS,Collapsed,4-5,2425.0,0.19148768161718258,9,pandemic_irregular
2020-21,HS,Collapsed,Not Rated,2889.0,0.22812697409981048,13,pandemic_irregular
2020-21,MS,1,1-2,0.0,0.0,0,pandemic_irregular
2020-21,MS,2,1-2,908.0,0.05137199434229137,4,pandemic_irregular
2020-21,MS,3,3,2953.0,0.16707213578500707,9,pandemic_irregular
2020-21,MS,4,4-5,2995.0,0.16944837340876945,8,pandemic_irregular
2020-21,MS,5,4-5,9164.0,0.5184724186704385,31,pandemic_irregular
2020-21,MS,Not Rated,Not Rated,1655.0,0.09363507779349363,7,pandemic_irregular
2020-21,MS,Collapsed,1-2,908.0,0.05137199434229137,4,pandemic_irregular
2020-21,MS,Collapsed,3,2953.0,0.16707213578500707,9,pandemic_irregular
2020-21,MS,Collapsed,4-5,12159.0,0.6879207920792079,39,pandemic_irregular
2020-21,MS,Collapsed,Not Rated,1655.0,0.09363507779349363,7,pandemic_irregular
2021-22,ES,1,1-2,0.0,0.0,0,testing_recovery_not_rated
2021-22,ES,2,1-2,0.0,0.0,0,testing_recovery_not_rated
2021-22,ES,3,3,0.0,0.0,0,testing_recovery_not_rated
2021-22,ES,4,4-5,0.0,0.0,0,testing_recovery_not_rated
