school_year,level_band,rating_bucket_5level,rating_bucket_3level,enrollment_share
2020-21,ES,5,4-5,0.23181744618870367
2020-21,ES,Not Rated,Not Rated,0.18747370124615634
2020-21,ES,Collapsed,1-2,0.2760964557371743
2020-21,ES,Collapsed,3,0.0964233694772617
2020-21,ES,Collapsed,4-5,0.4400064735394077
2020-21,ES,Collapsed,Not Rated,0.18747370124615634
2020-21,HS,1,1-2,0.18074857864813645
2020-21,HS,2,1-2,0.15674352495262162
2020-21,HS,3,3,0.2428932406822489
2020-21,HS,4,4-5,0.0463518635502211
2020-21,HS,5,4-5,0.14513581806696146
2020-21,HS,Not Rated,Not Rated,0.22812697409981048
2020-21,HS,Collapsed,1-2,0.33749210360075804
2020-21,HS,Collapsed,3,0.2428932406822489
2020-21,HS,Collapsed,4-5,0.19148768161718258
2020-21,HS,Collapsed,Not Rated,0.22812697409981048
2020-21,MS,1,1-2,0.0
2020-21,MS,2,1-2,0.05137199434229137
2020-21,MS,3,3,0.16707213578500707
2020-21,MS,4,4-5,0.16944837340876945
2020-21,MS,5,4-5,0.5184724186704385
2020-21,MS,Not Rated,Not Rated,0.09363507779349363
2020-21,MS,Collapsed,1-2,0.05137199434229137
2020-21,MS,Collapsed,3,0.16707213578500707
2020-21,MS,Collapsed,4-5,0.6879207920792079
2020-21,MS,Collapsed,Not Rated,0.09363507779349363
2021-22,ES,1,1-2,0.0
2021-22,ES,2,1-2,0.0
2021-22,ES,3,3,0.0
2021-22,ES,4,4-5,0.0
2021-22,ES,5,4-5,0.0
2021-22,ES,Not Rated,Not Rated,1.0
2021-22,ES,Collapsed,1-2,0.0
2021-22,ES,Collapsed,3,0.0
2021-22,ES,Collapsed,4-5,0.0
2021-22,ES,Collapsed,Not Rated,1.0
2021-22,HS,1,1-2,0.0
2021-22,HS,2,1-2,0.0
2021-22,HS,3,3,0.0
2021-22,HS,4,4-5,0.0
2021-22,HS,5,4-5,0.0
2021-22,HS,Not Rated,Not Rated,1.0
2021-22,HS,Collapsed,1-2,0.0
2021-22,HS,Collapsed,3,0.0
2021-22,HS,Collapsed,4-5,0.0
2021-22,HS,Collapsed,Not Rated,1.0
2021-22,MS,1,1-2,0.0
2021-22,MS,2,1-2,0.0
2021-22,MS,3,3,0.0
2021-22,MS,4,4-5,0.0
2021-22,MS,5,4-5,0.0
2021-22,MS,Not Rated,Not Rated,1.0
2021-22,MS,Collapsed,1-2,0.0
2021-22,MS,Collapsed,3,0.0
2021-22,MS,Collapsed,4-5,0.0
2021-22,MS,Collapsed,Not Rated,1.0
2022-23,ES,1,1-2,0.10617059891107078
2022-23,ES,2,1-2,0.27454481587729057
2022-23,ES,3,3,0.21983490427960892
2022-23,ES,4,4-5,0.11957730812013348
2022-23,ES,5,4-5,0.27196885428253614
2022-23,ES,Not Rated,Not Rated,0.007903518529360108
2022-23,ES,Collapsed,1-2,0.38071541478836135
2022-23,ES,Collapsed,3,0.21983490427960892
2022-23,ES,Collapsed,4-5,0.39154616240266965
2022-23,ES,Collapsed,Not Rated,0.007903518529360108
